Aktywny (0/1); Nazwa; Kategoria nadrzędna; Kategoria główna; Przypisany URL; URL zdjęcia
1;Okładki i naklejki;Zeszyty i segregatory; 0;okladki_i_naklejki;
1;Segregatory szkolne;Zeszyty i segregatory; 0;segregatory_szkolne;
1;Wkłady do segregatora;Zeszyty i segregatory; 0;wklady_do_segregatora;
1;Zeszyty szkolne;Zeszyty i segregatory; 0;zeszyty_szkolne;
1;Pozostałe artykuły;Artykuły szkolne; 0;pozostale_artykuly; C:/xampp/htdocs/crawler/img/pozostale_artykuly.jpg
1;Bidony i śniadaniówki;Pozostałe artykuły; 0;bidony_i_sniadaniowki;
1;Globusy;Pozostałe artykuły; 0;globusy;
1;Kredy szkolne;Pozostałe artykuły; 0;kredy_szkolne;
1;Plany lekcji;Pozostałe artykuły; 0;plany_lekcji;
1;Podkładki na biurko;Pozostałe artykuły; 0;podkladki_na_biurko;
1;Pozostałe;Pozostałe artykuły; 0;pozostale;
1;Kawa i herbata;Artykuły spożywcze; 0;kawa_i_herbata; C:/xampp/htdocs/crawler/img/kawa_i_herbata.jpg
1;Kawa;Kawa i herbata; 0;kawa;
1;Herbata;Kawa i herbata; 0;herbata;
1;Cukier;Kawa i herbata; 0;cukier;
1;Mleko i śmietanki;Kawa i herbata; 0;mleko_i_smietanki;
1;Napoje chłodzące;Artykuły spożywcze; 0;napoje_chlodzace; C:/xampp/htdocs/crawler/img/napoje_chlodzace.jpg
1;Napoje;Napoje chłodzące; 0;napoje;
1;Soki;Napoje chłodzące; 0;soki;
1;Wody mineralne;Napoje chłodzące; 0;wody_mineralne;
1;Słodycze;Artykuły spożywcze; 0;slodycze; C:/xampp/htdocs/crawler/img/slodycze.jpg
1;Ciastka;Słodycze; 0;ciastka;
1;Akcesoria do komputera;Akcesoria komputerowe; 0;akcesoria_do_komputera; C:/xampp/htdocs/crawler/img/akcesoria_do_komputera.jpg
1;Filtry prywatyzujące;Akcesoria do komputera; 0;filtry_prywatyzujace;
1;Klawiatury i myszki ;Akcesoria do komputera; 0;klawiatury_i_myszki_;
1;Podkładki pod myszki i klawiatury;Akcesoria do komputera; 0;podkladki_pod_myszki_i_klawiatury;
1;Podstawy pod komputery i laptopy;Akcesoria do komputera; 0;podstawy_pod_komputery_i_laptopy;
1;Torby i plecaki na laptopy;Akcesoria do komputera; 0;torby_i_plecaki_na_laptopy;
1;Akcesoria mobilne;Akcesoria do komputera; 0;akcesoria_mobilne;
1;Akcesoria do telefonu;Akcesoria komputerowe; 0;akcesoria_do_telefonu; C:/xampp/htdocs/crawler/img/akcesoria_do_telefonu.jpg
1;Ładowarki;Akcesoria do telefonu; 0;ladowarki;
1;Kable;Akcesoria do telefonu; 0;kable;
1;Uchwyty;Akcesoria do telefonu; 0;uchwyty;
1;Słuchawki;Akcesoria do telefonu; 0;sluchawki;
1;Power Banki;Akcesoria do telefonu; 0;power_banki;
1;Archiwizacja nośników danych;Akcesoria komputerowe; 0;archiwizacja_nosnikow_danych; C:/xampp/htdocs/crawler/img/archiwizacja_nosnikow_danych.jpg
1;Koszulki na CD DVD;Archiwizacja nośników danych; 0;koszulki_na_cd_dvd;
1;Markery do CD DVD;Archiwizacja nośników danych; 0;markery_do_cd_dvd;
1;Pudełka i koperty na CD DVD;Archiwizacja nośników danych; 0;pudelka_i_koperty_na_cd_dvd;
1;Stojaki na CD DVD;Archiwizacja nośników danych; 0;stojaki_na_cd_dvd;
1;Nośniki danych;Akcesoria komputerowe; 0;nosniki_danych; C:/xampp/htdocs/crawler/img/nosniki_danych.jpg
1;Pamięci przenośne;Nośniki danych; 0;pamieci_przenosne;
1;Płyty CD DVD Blu-ray;Nośniki danych; 0;plyty_cd_dvd_blu-ray;
1;Środki czystości;Akcesoria komputerowe; 0;srodki_czystosci; C:/xampp/htdocs/crawler/img/srodki_czystosci.jpg
1;Chusteczki i ściereczki;Środki czystości; 0;chusteczki_i_sciereczki;
1;Pianki do czyszczenia;Środki czystości; 0;pianki_do_czyszczenia;
1;Sprężone powietrze;Środki czystości; 0;sprezone_powietrze;
1;Koszulki i obwoluty;Organizacja dokumentów; 0;koszulki_i_obwoluty; C:/xampp/htdocs/crawler/img/koszulki_i_obwoluty.jpg
1;Koszulki groszkowe;Koszulki i obwoluty; 0;koszulki_groszkowe;
1;Koszulki krystaliczne;Koszulki i obwoluty; 0;koszulki_krystaliczne;
1;Obwoluty;Koszulki i obwoluty; 0;obwoluty;
1;Torebki z suwakiem;Koszulki i obwoluty; 0;torebki_z_suwakiem;
1;Oprawa dokumentów;Organizacja dokumentów; 0;oprawa_dokumentow; C:/xampp/htdocs/crawler/img/oprawa_dokumentow.jpg
1;Folie do laminacji;Oprawa dokumentów; 0;folie_do_laminacji;
1;Grzbiety do bindowania;Oprawa dokumentów; 0;grzbiety_do_bindowania;
1;Okładki do bindowania;Oprawa dokumentów; 0;okladki_do_bindowania;
1;Okładki na dyplomy;Oprawa dokumentów; 0;okladki_na_dyplomy;
1;Listwy wsuwane;Oprawa dokumentów; 0;listwy_wsuwane;
1;Skoroszyty i wąsy do skoroszytów;Organizacja dokumentów; 0;skoroszyty_i_wasy_do_skoroszytow; C:/xampp/htdocs/crawler/img/skoroszyty_i_wasy_do_skoroszytow.jpg
